,N,p,k,Raft,Uninf,Geom id,Geom corr,MME,stable
441,33.0,0.4529053256741963,3.0,20.890280085660148,23.61099842076918,21.68268480765404,27.406914174686523,20.28,1.0
442,30.0,0.07455461854043677,19.0,7.20951062766443,7.928565876557079,6.792805878791547,7.937069977334342,10.44632768361581,0.0
443,91.0,0.8270593767405263,17.0,95.75245954092902,104.65772567788609,105.296693429087,122.64435292591463,94.83110660127403,1.0
444,95.0,0.1005221776132893,19.0,26.741717780573413,32.22587031044263,26.067746291096714,32.72220630209438,55.86798679867985,0.0
445,82.0,0.3957312045222797,9.0,51.75558193178824,64.80326208541527,59.07931304930056,75.78998655225514,56.36835599505563,1.0
446,83.0,0.4684389651978431,18.0,54.1215152670119,60.880921728679496,59.67088162318529,70.95165857992731,58.498849461063344,1.0
447,4.0,0.46622062065827763,3.0,4.1045779007194145,4.217865237426402,3.9670851972350385,4.29881604831563,2.578947368421053,1.0
448,10.0,0.8134119969382861,19.0,10.727802186906034,10.687380684317022,10.735224869405638,10.941998159869298,9.074626865671641,1.0
449,66.0,0.9420151667352724,4.0,70.87947288178306,79.46640729318409,81.03825060709686,122.15777266419953,64.931330472103,1.0
450,11.0,0.1743908664669258,11.0,5.771861906895768,6.37446293106853,5.44100289787065,6.286749318500435,5.714285714285713,0.0
451,8.0,0.0612789589426721,5.0,1.4466025127191007,1.5216553472648253,1.3787289419781064,1.542404892092683,1.0000000000000013,0.0
452,21.0,0.21733337804257113,7.0,11.724201064557885,12.51224256217745,11.570190581256997,13.024917951576786,8.491228070175438,1.0
453,26.0,0.17459205967548064,12.0,21.497712107303865,27.020935337241454,19.788517385605083,26.02799901665633,-7.538461538461539,0.0
454,18.0,0.7864267375442229,19.0,18.86178151747841,19.081893307648446,19.105857284025003,20.124486919143216,17.267027292844848,1.0
455,10.0,0.009169046882163245,21.0,1.377336554216217,1.504402763202571,1.3385438268073961,1.4847473191479832,1.0000000000000007,0.0
456,34.0,0.27073509738269697,8.0,17.7749563571028,20.621396882272055,17.684619104493375,21.63493740467455,28.444444444444443,0.0
457,72.0,0.22652427915202666,16.0,34.89446416068873,44.084480882067766,36.58555824818639,46.826169028686486,57.52173913043478,0.0
458,74.0,0.24936423784395356,9.0,31.307187529013305,35.89968105999279,33.771424721226104,42.05268765581945,32.532710280373834,1.0
459,77.0,0.22980745226357757,22.0,48.10066218120616,64.41118852957871,51.94230731782739,67.00604708680363,198.01980198019731,0.0
460,41.0,0.7688232672136118,7.0,33.22952678312588,33.12168260780882,34.30901922532285,43.76078547083976,31.18811881188119,1.0
461,66.0,0.6320433480660236,22.0,60.13963807301024,66.59181369798635,65.69554643941613,75.78582227916057,61.90533061462278,1.0
462,99.0,0.2904824613501049,3.0,49.423218744225025,62.26910343565959,56.38892116375414,77.47043011548571,55.67455621301776,1.0
463,95.0,0.7550954739136143,3.0,83.32489671870746,102.64529629505373,100.61624913192058,155.00785642064616,76.98220640569394,1.0
464,70.0,0.99964046675008,8.0,70.38798522417302,70.13925811808875,70.38281615651847,94.24070569884836,70.0,1.0
465,80.0,0.5504647288256387,20.0,68.26201761152193,83.63316940164839,78.25074007321024,94.94120100644693,76.55737035524704,1.0
466,23.0,0.8362615895071802,5.0,25.269955002464926,25.980823214762804,26.399841029609163,33.917908356029905,21.49586776859504,1.0
467,25.0,0.3811616342505382,20.0,16.298464382128223,16.52830789762913,16.34827957417684,17.466236480248625,14.115577889447236,1.0
468,14.0,0.1832112995692856,21.0,7.207044627793508,7.525796659621749,6.907532937275445,7.7127086245878145,8.407272727272725,0.0
469,44.0,0.5990719742605621,5.0,43.22397379859084,53.65382647479308,48.75593660141662,65.69704583067147,45.54342984409799,1.0
470,6.0,0.8703699131074317,11.0,6.717296614372435,6.656063162859671,6.700154845097793,6.907560354150152,5.807407407407407,1.0
471,85.0,0.1890428186697739,16.0,42.563807133421754,55.903476189922486,44.5951366362157,57.849785660071234,109.8695652173913,0.0
472,88.0,0.2948809703986588,15.0,45.619482865310395,53.641501349700114,50.30732640845798,60.85552009106821,47.564616635058236,1.0
473,51.0,0.10396102527549034,7.0,9.174829555848286,9.294697862711459,8.948447276663863,10.107897052713074,7.292929292929294,1.0
474,43.0,0.18132763893852033,17.0,12.662315813218058,13.031865873656892,12.615719027162093,13.91899978873288,12.045556385362211,1.0
475,33.0,0.08247500735285229,19.0,6.527713406494881,6.808447291911456,6.280329326082479,6.9143197367856235,4.7657657657657655,1.0
476,19.0,0.38063249202690885,20.0,16.539658016216155,17.852625089825363,16.33617275059267,18.60763621867711,15.72128945601075,1.0
477,90.0,0.251566547980016,20.0,47.16213487335066,59.30096069535091,51.741004536478684,65.10611799565355,63.57990867579908,0.0
478,41.0,0.19534518650670252,9.0,16.761806188389684,18.38132039676828,16.858305880932196,20.041257774223627,16.45785876993166,1.0
479,66.0,0.37816926484389357,11.0,42.06519444637349,51.29480876117682,46.12641360921553,57.879137971229476,46.821382007822685,1.0
480,11.0,0.8927635562025458,22.0,11.61016036823665,11.562734952766743,11.641083895065917,11.844631318624554,11.048180924287118,1.0
481,22.0,0.23488523512374604,16.0,8.899449372338513,9.022658733941968,8.760341117742707,9.57690334187228,8.84688995215311,1.0
482,84.0,0.03043279040539515,18.0,10.12452987437731,11.94554626146945,9.144754032129836,11.938221485227384,-10.881773399014788,0.0
483,12.0,0.12973086949514467,3.0,2.902268482415653,3.0452907224354746,2.7612042936564167,3.084817133055555,2.9999999999999996,0.0
484,53.0,0.9486940774576239,17.0,53.02669939537712,52.94275177025547,53.299332212096,56.16703467507122,52.943352601156064,1.0
485,51.0,0.9879342052818917,11.0,51.44387930043111,51.300975238759804,51.5416104157355,57.18390748290264,50.97889182058048,1.0
486,53.0,0.40916300921757054,11.0,43.812124684921315,54.49993392884088,48.27609912752769,60.15313308701188,52.42342342342342,1.0
487,53.0,0.5706585198079471,15.0,35.80646132281534,36.45764314120512,36.88352758487957,40.813655185163334,34.63494539781591,1.0
488,69.0,0.4212476374243911,7.0,68.60452411683816,104.90927307769773,78.59060365781649,106.2381308575922,-71.95463510848121,0.0
489,78.0,0.6356054143162289,5.0,69.79166055645786,90.83917157589208,84.04651743306867,117.79961728559127,75.11111111111111,1.0
490,98.0,0.4771033967069014,20.0,84.61079962242057,115.92970367396359,102.41702304004708,128.07140026953266,106.91872791519435,1.0
491,58.0,0.5241958341752064,11.0,60.52917779914503,83.71966499304601,70.96956228029427,94.58211554320728,108.51612903225809,0.0
492,53.0,0.7538181859263186,8.0,53.331180118574615,61.71160655799112,60.123235727645806,75.95132688477234,50.82903388973192,1.0
493,70.0,0.9209041907771661,22.0,73.27013862540777,74.48161123815464,75.28865777607014,81.29338526450918,73.72170761175997,1.0
494,85.0,0.34030429031079024,22.0,57.48512635020401,72.3969273963153,65.20434927299858,80.08795551317681,69.331888174615,1.0
495,42.0,0.6048014136402793,19.0,42.22892798314851,46.95449695766649,45.08366639389387,51.6373032743913,38.016243654822325,1.0
496,43.0,0.8712728515147068,9.0,46.29680570776542,50.019592274768385,50.2973531740359,63.980094651295424,44.41567501025852,1.0
497,3.0,0.1452691181549941,21.0,2.8697370225373104,3.2116077418463993,2.723077648662893,3.1824624754607496,-3.199999999999991,0.0
498,33.0,0.5981857620671399,13.0,32.5884313035575,38.41876635543496,35.081863071487746,42.954266647999255,35.42231553689262,1.0
499,95.0,0.8990447318470982,6.0,92.6011579148867,98.2002901042993,102.4189122592054,150.4847043106228,88.51961124609511,1.0
500,50.0,0.5114228588453008,3.0,36.880890475850954,41.18651600304935,40.52987956201057,57.16680812102789,30.892376681614348,1.0
501,44.0,0.016760340491262737,19.0,2.8718141782977695,3.136534566032314,2.735255399986908,3.1317499622455647,17.285714285714253,0.0
502,44.0,0.10574413962187346,14.0,14.705259084608441,16.90126751441882,13.848928028183437,17.000114307040707,21.897560975609757,0.0
503,96.0,0.8643408779033099,12.0,97.05486117243593,103.31062044897023,105.548494544014,130.9719441896177,96.70933863184786,1.0
504,24.0,0.5905226510820135,17.0,25.18816832176019,27.741304743159837,26.04580636862753,30.266286951534425,24.228318584070795,1.0
505,93.0,0.1515772731184547,11.0,26.42015985126648,29.895464052992093,26.935390298691228,32.26252943369234,23.590964590964592,1.0
506,10.0,0.18180478859992388,20.0,5.664623216353886,6.052462925312101,5.323761094709415,6.075473674183158,7.363636363636369,0.0
507,38.0,0.6314094067399193,7.0,34.69327140561088,41.36906996141175,38.18305981736571,50.02243794734631,37.40404040404041,1.0
508,72.0,0.9916430994912726,21.0,72.13117566645535,72.10602440862986,72.13038762461804,72.53133511556187,71.87014972921313,1.0
509,33.0,0.1443835401875514,10.0,13.0092999880244,15.041322832717672,12.156063707158836,15.19363757036874,73.49999999999994,0.0
510,63.0,0.0930185802111615,20.0,19.325861428248057,22.79733844660367,18.18338944890212,22.7834618054331,98.9411764705888,0.0
511,27.0,0.8552432303693728,7.0,27.341325761648296,28.231604841609617,28.809874288652058,35.829394217144355,25.088659793814433,1.0
512,10.0,0.00019437208023787012,19.0,7.981045711946005e-06,,2.616888048950585e-05,1.4345776733785903e-05,,1.0
513,21.0,0.4329382054721087,15.0,19.18031360961318,21.642497776013922,19.351486214738973,22.97025974531278,21.63063063063063,1.0
514,58.0,0.22619665892593188,14.0,39.74887119067893,53.8563520338291,40.43933260487011,53.04988528240008,-97.59036144578302,0.0
515,76.0,0.2851629353980615,5.0,45.30386557979563,59.57933716841973,50.36665059243197,67.45464129082589,173.2784810126584,0.0
516,7.0,0.8277614449523212,7.0,8.41887953990856,8.438157012937506,8.399339146243218,9.139215176811165,6.644268774703557,1.0
517,44.0,0.3171973779675684,7.0,22.05844811713283,25.084706825706014,22.49799602749538,26.761021497853257,19.56426332288401,1.0
518,51.0,0.6865638501442558,18.0,48.50103347266685,52.33854769172052,52.20269806678141,59.37205301498711,48.11462818573257,1.0
519,12.0,0.9228382556158323,4.0,14.360322051322814,14.260669791358316,14.58964447976362,17.74447180605566,11.440677966101696,1.0
520,5.0,0.15455563909852665,22.0,2.5887439980230935,2.6891373075634024,2.5202094880043937,2.734628603556637,1.8407643312101911,1.0
521,11.0,0.9313044291825828,4.0,12.65771017834033,12.040887304187212,12.922038447970424,16.24852549955739,11.0,1.0
522,21.0,0.41196596745787173,18.0,22.694734318286955,26.822016619771055,22.442018034163546,27.464170290320627,34.46915351506457,0.0
523,71.0,0.36074053196003,14.0,38.127450396298435,42.071825896326274,40.75434097190612,48.13723554676605,36.53477765108324,1.0
524,52.0,0.4009595871243624,8.0,58.69918544281493,85.40943844498506,63.98365333267985,87.36148792879534,-66.14470842332614,0.0
525,22.0,0.05244366593877303,8.0,2.6307584820886203,2.7101161937843803,2.552974692893807,2.728990719107285,1.653061224489796,1.0
526,10.0,0.2096105214872459,9.0,4.158608275137289,4.2826050892135585,3.9651229958262095,4.364102475505004,4.5,1.0
527,17.0,0.5674958739041761,7.0,23.391432425650017,28.580897556936687,23.095221358012058,29.5273160453933,145.20000000000016,0.0
528,82.0,0.09056338901448913,16.0,18.003265105640033,20.386994027043276,17.457585225483044,20.99981892115482,20.82857142857143,0.0
529,66.0,0.08474893886977009,13.0,10.878974273650819,12.182802962330666,10.496053346345779,12.553779565946826,17.635071090047393,0.0
530,68.0,0.6524287993272421,4.0,53.90912663185549,57.688419187522925,59.86873219888423,88.71135170728232,48.468113975576664,1.0
531,87.0,0.8600019618945455,13.0,86.80101619565089,90.32218583721702,92.03444470454112,111.01716601025322,85.83815028901735,1.0
532,38.0,0.1549327705818241,19.0,14.369793626278053,15.225690152163994,14.138049872572653,15.666808342012748,12.009077155824508,1.0
533,75.0,0.19114427030663472,18.0,28.049966478349976,31.030633170507073,29.136804534790908,33.88379525254986,27.962025316455698,1.0
534,95.0,0.03564523250652407,11.0,7.053172777161643,7.539946489435445,6.66448549436855,7.661249261520724,8.027777777777779,0.0
535,68.0,0.1343148501620255,9.0,18.232973815942515,21.466313957590266,17.91302341610319,22.389556872505352,41.01941747572815,0.0
536,16.0,0.21657188203646172,22.0,8.527143953538108,9.36350547177213,8.16178711469586,9.43479917838718,10.179138321995463,0.0
537,5.0,0.9077587303949388,20.0,5.266784753051622,5.231399843934952,5.266031743467351,5.30604637698339,5.083277367360645,1.0
538,20.0,0.7185356377269067,9.0,20.19290082091119,20.797646161970896,20.85277435573488,24.426292573627325,18.626556016597508,1.0
539,3.0,0.16496838124623814,4.0,2.8404690773107126,2.9825111345007214,2.7141534792804274,3.0139055515037496,2.0,1.0
540,17.0,0.3931370408316889,16.0,18.97823365416561,21.3136174390885,18.45154090728555,21.573997911247293,17.751677852348994,0.0
541,93.0,0.7873273009396218,18.0,97.03698394380922,113.73503275514307,112.16084253022059,135.69923016107728,107.34099359951234,1.0
542,26.0,0.8067026128752497,7.0,31.544801845747536,35.18418954224693,33.91419250843347,42.511225916844694,29.145077720207258,1.0
543,69.0,0.299391341906869,19.0,39.01169011363007,46.768505798699564,41.96548811625134,50.97684897831078,42.71612182173791,1.0
544,68.0,0.7167172558861787,8.0,62.08766313571341,70.70100227047242,70.18096746684408,93.4032148422266,61.4600079586152,1.0
545,5.0,0.15733891588615412,11.0,4.153642071303174,4.5219286045858755,3.9512124774852015,4.483070989332423,2.9411764705882333,0.0
546,3.0,0.4504272558819794,18.0,4.113454314384561,4.345471633350722,3.945768406570105,4.386214091415403,3.980891719745223,0.0
547,15.0,0.830746758563111,8.0,18.981690157789856,20.168757702422685,19.436011291177127,23.01199311459943,17.22495606326889,1.0
548,60.0,0.6301324036367623,21.0,60.52951390599295,70.48338550988326,67.63868386494153,79.35299463401697,62.314712824547605,1.0
549,100.0,0.6890095716501352,6.0,84.1185223444824,98.20101986067749,97.07951537411476,136.2216162911821,80.29595588235294,1.0
550,79.0,0.2740541923408485,16.0,31.448597869268813,34.97710488831199,33.185472767335824,39.317972306785094,32.323232323232325,1.0
551,63.0,0.3636410173609702,4.0,41.666752126519114,56.029947568048556,44.93278155745358,59.474378533023945,-271.3478260869565,0.0
552,35.0,0.44359898828902233,7.0,25.72701508023672,28.61839090955852,26.78893969848793,33.095431103018846,23.242530755711773,1.0
553,63.0,0.6024863966979577,15.0,54.21275901618298,62.39967948482235,60.333963343311794,74.27707273964003,58.41981723705429,1.0
554,87.0,0.5849215037074282,3.0,73.9178783134522,97.07578177702592,90.27416885926945,132.10916360468042,75.55813953488372,1.0
555,35.0,0.1828289203960185,22.0,16.43172539631271,18.481494718797467,15.487833337352404,18.94460887297969,27.180422264875222,0.0
556,65.0,0.6610882670284033,10.0,66.38114440037612,84.94136092978985,78.18994093309574,100.33674556597437,73.12166172106825,1.0
557,92.0,0.5696559546725175,17.0,71.50228112727476,83.83657530009131,81.4906175610368,99.57292404406192,77.06873977086744,1.0
558,72.0,0.3262557368518517,15.0,48.49487941789086,62.09206267014352,54.00974701196773,68.1818348637702,58.56043956043958,1.0
559,55.0,0.015644527185837753,12.0,2.790996120772013,3.015544146792591,2.6756973655486034,3.0199517557838447,3.5714285714285703,0.0
560,1.0,0.3413481709656475,14.0,1.381765945377693,1.4753734002011432,1.3382532218484342,1.5032884152133483,1.000000000000001,0.0
561,9.0,0.6116581624291257,4.0,8.931836520447627,9.070950963390848,8.801041739243194,9.972661218210176,6.545454545454546,1.0
562,90.0,0.7728644318472911,3.0,88.00944631354322,111.95592195145957,107.89695437832188,161.35495484793114,84.52173913043478,1.0
563,77.0,0.10174266425046197,8.0,17.162660684017066,19.939796103825422,16.814409938065673,20.961368316782004,33.15238095238095,0.0
564,27.0,0.0798617719019874,12.0,6.986530355952729,7.477746239703173,6.643616840673109,7.5041351138299595,5.165289256198346,0.0
565,21.0,0.8316682940084372,21.0,25.604193635680485,26.71392556995407,26.41459300103922,29.308682304997422,25.31884630580798,1.0
566,55.0,0.3937743949752205,10.0,30.516673577281733,32.21345670937439,32.06836381874646,38.009065521380485,27.73972602739726,1.0
567,34.0,0.8521737287501212,13.0,35.74585642618273,37.03184203218601,37.36266534372536,43.5457048548898,34.58222676200204,1.0
568,25.0,0.036991492437403295,18.0,4.151721932922511,4.402718378046836,3.9586536037786972,4.446845308146184,3.571428571428572,0.0
